address,days_active,weekly_avg_hashrate,current_balance,last_payment
9fTnLSaEoBLfcm3gMvh6MFtgp1QocdHqaVFFD31XSGhWe2C7Qkh,7,238421642.0103251,0.199981518048,2025-01-12 00:58:48
9f5vwtxyRP87wmc8ezyKbL7ryaNhDrgWUVBEZpQKnw16SWceKR9,7,218204491.2566636,0.370021996826,2025-01-11 09:18:47
9feNRbYuVz2nQy1V8t2z5saYnWKwmGJ2nYgcMdXBjqYXqHMeWnv,7,209390558.5590713,0.403186685527,2025-01-10 14:58:47
9iA2SfE5ADugiMFkiL5YDM7893m4fZj47JJsR4LmkdLRqc7JeLB,7,178067746.64711356,0.177338134519,2025-01-11 09:18:47
9fmrhz4zRkkt7Dn377GsdhZkTzMy39vF6Fkh2KqSjvdTs9sCRrV,7,174893285.62039095,0.068538711704,2025-01-12 10:38:48
9edaf7T2rmMtztgDtTBPWh9yMuDNaGNWFHhuYFrPCvHsnjDEwJQ,7,156285448.23394385,0.03448195834,2025-01-12 10:48:46
9g7wnNUa6tb69Rr3g6SHv8UxLHUjD2Sh4zwGEEdHWepv1EQftso,7,155670115.80854598,0.274981219238,2025-01-10 19:48:47
9hwsVQe9JdvjnuDRWQVauRNfsdZR73fZysB87MBhVA5GxucGzo7,7,142199056.5217196,0.197510117426,2025-01-11 08:38:48
9fKnMCUuz7FYJmUi5SxL1DJn5MsKSwGpRgtPnYFzxV48Mjocv3T,6,138926936.2902238,0.115024995782,2025-01-11 01:48:47
9esEr6xDEfrrs26LNa8Ve6TJhSosQYEnd44EtffK6uVUfDpJwka,6,137923301.44852865,0.174859689171,2025-01-10 14:58:47
9h4Q7d8b98Pr77CVd99n5gcWi6tz4MtkyGRFFkh2FQDYfWYt1mP,7,135230369.6521055,0.326250223826,2025-01-10 14:58:47
9iBDbXipzcrTznKwPYv7y5ddFjkTxEyqtK7a4HqRhsUc4wdG7vs,7,126952180.43067768,0.0,2025-01-13 18:28:52
9gYxtaAgBnKSTri6DSGpPoXQQcmMW9Bv4SqqEk19teqkgc4WfzT,5,121125187.38216524,0.488486517479,2024-12-28 10:49:35
9iBuhjwjN2DQ6TTPYKQFMYEu1Mk2DH7ivUeGLwTxtqeVXiYfrmx,7,103013105.31391624,0.364469450298,2025-01-08 17:58:48
9gNYJTFuhaNWvLWWYMTMPJfS5ShnCAHtfGMVHevGoBQYw1x3A31,6,91882880.81014179,0.368826494781,2025-01-07 17:28:47
9iEXe2d4rgyBw4sAAafqZsmqmBux75eKTS4ujACpEfDpUaaffb9,6,91868398.4471897,0.153066241924,2025-01-10 09:38:47
9f9Y5rD1UqKSkfk98Vgb9L8E3NgojaunKiHhzFZWxCHgPzRLsGY,6,91045759.83530629,0.154008652611,2025-01-10 09:38:47
9iGJ1GV4ECbCgvbcK5DfQ9R7Bt66taavcVWcmSTxJ5HcPCuyMvb,6,90254839.84084587,0.388650763294,2025-01-07 13:28:46
9gwFTap8YaQEzsMAXdt4pa1BjAsR9gcijMMuxTRrAf4vgMhSnXY,6,50242541.2215847,0.229230014324,2025-01-06 07:18:47
