address,days_active,weekly_avg_hashrate,current_balance,last_payment
9f5vwtxyRP87wmc8ezyKbL7ryaNhDrgWUVBEZpQKnw16SWceKR9,7,173518975.8992298,0.232508176944,2025-01-21 23:15:32
9iA2SfE5ADugiMFkiL5YDM7893m4fZj47JJsR4LmkdLRqc7JeLB,7,173316604.04520527,0.379212929181,2025-01-20 13:48:47
9fmrhz4zRkkt7Dn377GsdhZkTzMy39vF6Fkh2KqSjvdTs9sCRrV,6,172304674.2311187,0.353702695933,2025-01-20 20:25:34
9iGCyowxwgf6cQef1RfEw6UCYoHJi6q1hZvKvcWyFY1kuLNVE7S,6,171916089.36733457,0.182911671165,2025-01-21 17:35:33
9edaf7T2rmMtztgDtTBPWh9yMuDNaGNWFHhuYFrPCvHsnjDEwJQ,5,162324148.81695628,0.311282807915,2025-01-18 02:28:48
9esEr6xDEfrrs26LNa8Ve6TJhSosQYEnd44EtffK6uVUfDpJwka,6,148408955.83205703,0.096935849193,2025-01-21 23:15:32
9fKnMCUuz7FYJmUi5SxL1DJn5MsKSwGpRgtPnYFzxV48Mjocv3T,6,146251721.42235973,0.033030650588,2025-01-22 05:15:32
9iBDbXipzcrTznKwPYv7y5ddFjkTxEyqtK7a4HqRhsUc4wdG7vs,7,126747693.33205418,0.458439185611,2025-01-19 03:58:49
9hwsVQe9JdvjnuDRWQVauRNfsdZR73fZysB87MBhVA5GxucGzo7,7,115091552.16089715,0.044162730756,2025-01-21 23:15:32
9h4Q7d8b98Pr77CVd99n5gcWi6tz4MtkyGRFFkh2FQDYfWYt1mP,5,106779174.38988653,0.063561273498,2025-01-20 22:55:33
9iBuhjwjN2DQ6TTPYKQFMYEu1Mk2DH7ivUeGLwTxtqeVXiYfrmx,7,102223858.33523788,0.113274212083,2025-01-21 17:35:33
9gwFTap8YaQEzsMAXdt4pa1BjAsR9gcijMMuxTRrAf4vgMhSnXY,7,94713746.20497905,0.099044071237,2025-01-22 05:15:32
9iEXe2d4rgyBw4sAAafqZsmqmBux75eKTS4ujACpEfDpUaaffb9,6,90998575.27681172,0.231838048359,2025-01-20 02:18:47
9iGJ1GV4ECbCgvbcK5DfQ9R7Bt66taavcVWcmSTxJ5HcPCuyMvb,6,90627727.85927148,0.498405879268,2025-01-15 14:48:48
9f9Y5rD1UqKSkfk98Vgb9L8E3NgojaunKiHhzFZWxCHgPzRLsGY,6,89191357.1314419,0.234539327941,2025-01-20 02:18:47
9gNYJTFuhaNWvLWWYMTMPJfS5ShnCAHtfGMVHevGoBQYw1x3A31,6,88719507.45442419,0.460164860967,2025-01-16 03:08:47
